Key,Value
saleData.history.2024-09.dataByPropertyType[1].medianPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[1].minPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[1].maxPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[1].averageSquareFootage,
saleData.history.2024-09.dataByPropertyType[1].medianSquareFootage,
saleData.history.2024-09.dataByPropertyType[1].minSquareFootage,
saleData.history.2024-09.dataByPropertyType[1].maxSquareFootage,
saleData.history.2024-09.dataByPropertyType[1].averageDaysOnMarket,124.16
saleData.history.2024-09.dataByPropertyType[1].medianDaysOnMarket,84
saleData.history.2024-09.dataByPropertyType[1].minDaysOnMarket,2
saleData.history.2024-09.dataByPropertyType[1].maxDaysOnMarket,357
saleData.history.2024-09.dataByPropertyType[1].newListings,2
saleData.history.2024-09.dataByPropertyType[1].totalListings,33
saleData.history.2024-09.dataByPropertyType[2].propertyType,Manufactured
saleData.history.2024-09.dataByPropertyType[2].averagePrice,204000
saleData.history.2024-09.dataByPropertyType[2].medianPrice,175000
saleData.history.2024-09.dataByPropertyType[2].minPrice,39900
saleData.history.2024-09.dataByPropertyType[2].maxPrice,850000
saleData.history.2024-09.dataByPropertyType[2].averagePricePerSquareFoot,154.29
saleData.history.2024-09.dataByPropertyType[2].medianPricePerSquareFoot,122.27
saleData.history.2024-09.dataByPropertyType[2].minPricePerSquareFoot,64.9
saleData.history.2024-09.dataByPropertyType[2].maxPricePerSquareFoot,351.97
saleData.history.2024-09.dataByPropertyType[2].averageSquareFootage,1574
saleData.history.2024-09.dataByPropertyType[2].medianSquareFootage,1500
saleData.history.2024-09.dataByPropertyType[2].minSquareFootage,1000
saleData.history.2024-09.dataByPropertyType[2].maxSquareFootage,2415
saleData.history.2024-09.dataByPropertyType[2].averageDaysOnMarket,47.15
saleData.history.2024-09.dataByPropertyType[2].medianDaysOnMarket,31
saleData.history.2024-09.dataByPropertyType[2].minDaysOnMarket,4
saleData.history.2024-09.dataByPropertyType[2].maxDaysOnMarket,298
saleData.history.2024-09.dataByPropertyType[2].newListings,4
saleData.history.2024-09.dataByPropertyType[2].totalListings,13
saleData.history.2024-09.dataByPropertyType[3].propertyType,Multi-Family
saleData.history.2024-09.dataByPropertyType[3].averagePrice,265000
saleData.history.2024-09.dataByPropertyType[3].medianPrice,265000
saleData.history.2024-09.dataByPropertyType[3].minPrice,265000
saleData.history.2024-09.dataByPropertyType[3].maxPrice,265000
saleData.history.2024-09.dataByPropertyType[3].averagePricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[3].medianPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[3].minPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[3].maxPricePerSquareFoot,
saleData.history.2024-09.dataByPropertyType[3].averageSquareFootage,
saleData.history.2024-09.dataByPropertyType[3].medianSquareFootage,
saleData.history.2024-09.dataByPropertyType[3].minSquareFootage,
saleData.history.2024-09.dataByPropertyType[3].maxSquareFootage,
saleData.history.2024-09.dataByPropertyType[3].averageDaysOnMarket,6.5
saleData.history.2024-09.dataByPropertyType[3].medianDaysOnMarket,6
saleData.history.2024-09.dataByPropertyType[3].minDaysOnMarket,6
saleData.history.2024-09.dataByPropertyType[3].maxDaysOnMarket,7
saleData.history.2024-09.dataByPropertyType[3].newListings,2
saleData.history.2024-09.dataByPropertyType[3].totalListings,2
saleData.history.2024-09.dataByPropertyType[4].propertyType,Single Family
saleData.history.2024-09.dataByPropertyType[4].averagePrice,311771
saleData.history.2024-09.dataByPropertyType[4].medianPrice,286278
saleData.history.2024-09.dataByPropertyType[4].minPrice,85018
saleData.history.2024-09.dataByPropertyType[4].maxPrice,774900
saleData.history.2024-09.dataByPropertyType[4].averagePricePerSquareFoot,191.94
saleData.history.2024-09.dataByPropertyType[4].medianPricePerSquareFoot,185.07
saleData.history.2024-09.dataByPropertyType[4].minPricePerSquareFoot,65.3
saleData.history.2024-09.dataByPropertyType[4].maxPricePerSquareFoot,500
saleData.history.2024-09.dataByPropertyType[4].averageSquareFootage,1718
saleData.history.2024-09.dataByPropertyType[4].medianSquareFootage,1620
saleData.history.2024-09.dataByPropertyType[4].minSquareFootage,610
saleData.history.2024-09.dataByPropertyType[4].maxSquareFootage,4588
saleData.history.2024-09.dataByPropertyType[4].averageDaysOnMarket,60.25
saleData.history.2024-09.dataByPropertyType[4].medianDaysOnMarket,44
saleData.history.2024-09.dataByPropertyType[4].minDaysOnMarket,2
saleData.history.2024-09.dataByPropertyType[4].maxDaysOnMarket,327
saleData.history.2024-09.dataByPropertyType[4].newListings,46
saleData.history.2024-09.dataByPropertyType[4].totalListings,174
saleData.history.2024-09.dataByPropertyType[5].propertyType,Townhouse
saleData.history.2024-09.dataByPropertyType[5].averagePrice,297282
saleData.history.2024-09.dataByPropertyType[5].medianPrice,279990
saleData.history.2024-09.dataByPropertyType[5].minPrice,124900
saleData.history.2024-09.dataByPropertyType[5].maxPrice,765000
saleData.history.2024-09.dataByPropertyType[5].averagePricePerSquareFoot,181.38
saleData.history.2024-09.dataByPropertyType[5].medianPricePerSquareFoot,173.74
saleData.history.2024-09.dataByPropertyType[5].minPricePerSquareFoot,131.61
saleData.history.2024-09.dataByPropertyType[5].maxPricePerSquareFoot,386.84
saleData.history.2024-09.dataByPropertyType[5].averageSquareFootage,1665
saleData.history.2024-09.dataByPropertyType[5].medianSquareFootage,1600
saleData.history.2024-09.dataByPropertyType[5].minSquareFootage,949
saleData.history.2024-09.dataByPropertyType[5].maxSquareFootage,2150
saleData.history.2024-09.dataByPropertyType[5].averageDaysOnMarket,43.15
saleData.history.2024-09.dataByPropertyType[5].medianDaysOnMarket,20
saleData.history.2024-09.dataByPropertyType[5].minDaysOnMarket,2
saleData.history.2024-09.dataByPropertyType[5].maxDaysOnMarket,333
saleData.history.2024-09.dataByPropertyType[5].newListings,12
saleData.history.2024-09.dataByPropertyType[5].totalListings,46
saleData.history.2024-09.dataByBedrooms[0].bedrooms,1
saleData.history.2024-09.dataByBedrooms[0].averagePrice,188475
saleData.history.2024-09.dataByBedrooms[0].medianPrice,160000
saleData.history.2024-09.dataByBedrooms[0].minPrice,147900
saleData.history.2024-09.dataByBedrooms[0].maxPrice,237000
saleData.history.2024-09.dataByBedrooms[0].averagePricePerSquareFoot,243.02
saleData.history.2024-09.dataByBedrooms[0].medianPricePerSquareFoot,199.75
saleData.history.2024-09.dataByBedrooms[0].minPricePerSquareFoot,184.88
saleData.history.2024-09.dataByBedrooms[0].maxPricePerSquareFoot,342.62
saleData.history.2024-09.dataByBedrooms[0].averageSquareFootage,795
saleData.history.2024-09.dataByBedrooms[0].medianSquareFootage,800
saleData.history.2024-09.dataByBedrooms[0].minSquareFootage,610
saleData.history.2024-09.dataByBedrooms[0].maxSquareFootage,968
saleData.history.2024-09.dataByBedrooms[0].averageDaysOnMarket,115
saleData.history.2024-09.dataByBedrooms[0].medianDaysOnMarket,56
saleData.history.2024-09.dataByBedrooms[0].minDaysOnMarket,6
saleData.history.2024-09.dataByBedrooms[0].maxDaysOnMarket,300
saleData.history.2024-09.dataByBedrooms[0].newListings,1
saleData.history.2024-09.dataByBedrooms[0].totalListings,4
saleData.history.2024-09.dataByBedrooms[1].bedrooms,2
saleData.history.2024-09.dataByBedrooms[1].averagePrice,248749
saleData.history.2024-09.dataByBedrooms[1].medianPrice,244500
saleData.history.2024-09.dataByBedrooms[1].minPrice,39900
saleData.history.2024-09.dataByBedrooms[1].maxPrice,770000
saleData.history.2024-09.dataByBedrooms[1].averagePricePerSquareFoot,207.67
saleData.history.2024-09.dataByBedrooms[1].medianPricePerSquareFoot,193.88
saleData.history.2024-09.dataByBedrooms[1].minPricePerSquareFoot,65.3
saleData.history.2024-09.dataByBedrooms[1].maxPricePerSquareFoot,386.84
saleData.history.2024-09.dataByBedrooms[1].averageSquareFootage,1167
saleData.history.2024-09.dataByBedrooms[1].medianSquareFootage,1076
saleData.history.2024-09.dataByBedrooms[1].minSquareFootage,833
saleData.history.2024-09.dataByBedrooms[1].maxSquareFootage,2292
saleData.history.2024-09.dataByBedrooms[1].averageDaysOnMarket,75.94
saleData.history.2024-09.dataByBedrooms[1].medianDaysOnMarket,53
saleData.history.2024-09.dataByBedrooms[1].minDaysOnMarket,4
saleData.history.2024-09.dataByBedrooms[1].maxDaysOnMarket,333
saleData.history.2024-09.dataByBedrooms[1].newListings,14
saleData.history.2024-09.dataByBedrooms[1].totalListings,51
saleData.history.2024-09.dataByBedrooms[2].bedrooms,3
saleData.history.2024-09.dataByBedrooms[2].averagePrice,284498
saleData.history.2024-09.dataByBedrooms[2].medianPrice,280000
saleData.history.2024-09.dataByBedrooms[2].minPrice,64900
saleData.history.2024-09.dataByBedrooms[2].maxPrice,765000
saleData.history.2024-09.dataByBedrooms[2].averagePricePerSquareFoot,182.79
saleData.history.2024-09.dataByBedrooms[2].medianPricePerSquareFoot,177.76
saleData.history.2024-09.dataByBedrooms[2].minPricePerSquareFoot,64.9
saleData.history.2024-09.dataByBedrooms[2].maxPricePerSquareFoot,500
saleData.history.2024-09.dataByBedrooms[2].averageSquareFootage,1628
saleData.history.2024-09.dataByBedrooms[2].medianSquareFootage,1587
saleData.history.2024-09.dataByBedrooms[2].minSquareFootage,700
saleData.history.2024-09.dataByBedrooms[2].maxSquareFootage,2800
saleData.history.2024-09.dataByBedrooms[2].averageDaysOnMarket,42.04
saleData.history.2024-09.dataByBedrooms[2].medianDaysOnMarket,32
saleData.history.2024-09.dataByBedrooms[2].minDaysOnMarket,2
saleData.history.2024-09.dataByBedrooms[2].maxDaysOnMarket,203
saleData.history.2024-09.dataByBedrooms[2].newListings,39
saleData.history.2024-09.dataByBedrooms[2].totalListings,135
saleData.history.2024-09.dataByBedrooms[3].bedrooms,4
saleData.history.2024-09.dataByBedrooms[3].averagePrice,404014
saleData.history.2024-09.dataByBedrooms[3].medianPrice,399000
saleData.history.2024-09.dataByBedrooms[3].minPrice,119900
saleData.history.2024-09.dataByBedrooms[3].maxPrice,774900
saleData.history.2024-09.dataByBedrooms[3].averagePricePerSquareFoot,177.94
saleData.history.2024-09.dataByBedrooms[3].medianPricePerSquareFoot,154.62
saleData.history.2024-09.dataByBedrooms[3].minPricePerSquareFoot,132.81
saleData.history.2024-09.dataByBedrooms[3].maxPricePerSquareFoot,340.62
saleData.history.2024-09.dataByBedrooms[3].averageSquareFootage,2323
saleData.history.2024-09.dataByBedrooms[3].medianSquareFootage,2045
saleData.history.2024-09.dataByBedrooms[3].minSquareFootage,1560
saleData.history.2024-09.dataByBedrooms[3].maxSquareFootage,3469
saleData.history.2024-09.dataByBedrooms[3].averageDaysOnMarket,60.76
saleData.history.2024-09.dataByBedrooms[3].medianDaysOnMarket,44
saleData.history.2024-09.dataByBedrooms[3].minDaysOnMarket,3
saleData.history.2024-09.dataByBedrooms[3].maxDaysOnMarket,208
saleData.history.2024-09.dataByBedrooms[3].newListings,9
saleData.history.2024-09.dataByBedrooms[3].totalListings,38
saleData.history.2024-09.dataByBedrooms[4].bedrooms,5
saleData.history.2024-09.dataByBedrooms[4].averagePrice,506874
saleData.history.2024-09.dataByBedrooms[4].medianPrice,425000
saleData.history.2024-09.dataByBedrooms[4].minPrice,345000
saleData.history.2024-09.dataByBedrooms[4].maxPrice,850000
saleData.history.2024-09.dataByBedrooms[4].averagePricePerSquareFoot,173.42
saleData.history.2024-09.dataByBedrooms[4].medianPricePerSquareFoot,151.07
saleData.history.2024-09.dataByBedrooms[4].minPricePerSquareFoot,108.55
saleData.history.2024-09.dataByBedrooms[4].maxPricePerSquareFoot,351.97
saleData.history.2024-09.dataByBedrooms[4].averageSquareFootage,3162
saleData.history.2024-09.dataByBedrooms[4].medianSquareFootage,2990
saleData.history.2024-09.dataByBedrooms[4].minSquareFootage,2152
saleData.history.2024-09.dataByBedrooms[4].maxSquareFootage,4588
saleData.history.2024-09.dataByBedrooms[4].averageDaysOnMarket,109.14
saleData.history.2024-09.dataByBedrooms[4].medianDaysOnMarket,30
saleData.history.2024-09.dataByBedrooms[4].minDaysOnMarket,3
saleData.history.2024-09.dataByBedrooms[4].maxDaysOnMarket,327
saleData.history.2024-09.dataByBedrooms[4].newListings,1
saleData.history.2024-09.dataByBedrooms[4].totalListings,8
saleData.history.2024-10.date,2024-10-01T00:00:00.000Z
saleData.history.2024-10.averagePrice,291933
saleData.history.2024-10.medianPrice,276990
saleData.history.2024-10.minPrice,20000
saleData.history.2024-10.maxPrice,1500000
saleData.history.2024-10.averagePricePerSquareFoot,186.53
saleData.history.2024-10.medianPricePerSquareFoot,178
saleData.history.2024-10.minPricePerSquareFoot,64.9
saleData.history.2024-10.maxPricePerSquareFoot,500
saleData.history.2024-10.averageSquareFootage,1698
saleData.history.2024-10.medianSquareFootage,1600
saleData.history.2024-10.minSquareFootage,610
saleData.history.2024-10.maxSquareFootage,4588
saleData.history.2024-10.averageDaysOnMarket,67.21
saleData.history.2024-10.medianDaysOnMarket,45
saleData.history.2024-10.minDaysOnMarket,2
saleData.history.2024-10.maxDaysOnMarket,348
saleData.history.2024-10.newListings,21
saleData.history.2024-10.totalListings,265
saleData.history.2024-10.dataByPropertyType[0].propertyType,Condo
saleData.history.2024-10.dataByPropertyType[0].averagePrice,144900
saleData.history.2024-10.dataByPropertyType[0].medianPrice,144900
saleData.history.2024-10.dataByPropertyType[0].minPrice,144900
saleData.history.2024-10.dataByPropertyType[0].maxPrice,144900
saleData.history.2024-10.dataByPropertyType[0].averagePricePerSquareFoot,129.26
saleData.history.2024-10.dataByPropertyType[0].medianPricePerSquareFoot,129.26
saleData.history.2024-10.dataByPropertyType[0].minPricePerSquareFoot,129.26
saleData.history.2024-10.dataByPropertyType[0].maxPricePerSquareFoot,129.26
saleData.history.2024-10.dataByPropertyType[0].averageSquareFootage,1121
saleData.history.2024-10.dataByPropertyType[0].medianSquareFootage,1121
saleData.history.2024-10.dataByPropertyType[0].minSquareFootage,1121
saleData.history.2024-10.dataByPropertyType[0].maxSquareFootage,1121
saleData.history.2024-10.dataByPropertyType[0].averageDaysOnMarket,61
saleData.history.2024-10.dataByPropertyType[0].medianDaysOnMarket,61
saleData.history.2024-10.dataByPropertyType[0].minDaysOnMarket,61
saleData.history.2024-10.dataByPropertyType[0].maxDaysOnMarket,61
saleData.history.2024-10.dataByPropertyType[0].newListings,0
saleData.history.2024-10.dataByPropertyType[0].totalListings,1
saleData.history.2024-10.dataByPropertyType[1].propertyType,Land
saleData.history.2024-10.dataByPropertyType[1].averagePrice,235056
saleData.history.2024-10.dataByPropertyType[1].medianPrice,90000
saleData.history.2024-10.dataByPropertyType[1].minPrice,20000
saleData.history.2024-10.dataByPropertyType[1].maxPrice,1500000
saleData.history.2024-10.dataByPropertyType[1].averagePricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[1].medianPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[1].minPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[1].maxPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[1].averageSquareFootage,
saleData.history.2024-10.dataByPropertyType[1].medianSquareFootage,
saleData.history.2024-10.dataByPropertyType[1].minSquareFootage,
saleData.history.2024-10.dataByPropertyType[1].maxSquareFootage,
saleData.history.2024-10.dataByPropertyType[1].averageDaysOnMarket,137.52
saleData.history.2024-10.dataByPropertyType[1].medianDaysOnMarket,113
saleData.history.2024-10.dataByPropertyType[1].minDaysOnMarket,15
saleData.history.2024-10.dataByPropertyType[1].maxDaysOnMarket,348
saleData.history.2024-10.dataByPropertyType[1].newListings,0
saleData.history.2024-10.dataByPropertyType[1].totalListings,32
saleData.history.2024-10.dataByPropertyType[2].propertyType,Manufactured
saleData.history.2024-10.dataByPropertyType[2].averagePrice,213976
saleData.history.2024-10.dataByPropertyType[2].medianPrice,175000
saleData.history.2024-10.dataByPropertyType[2].minPrice,39900
saleData.history.2024-10.dataByPropertyType[2].maxPrice,850000
saleData.history.2024-10.dataByPropertyType[2].averagePricePerSquareFoot,149.04
saleData.history.2024-10.dataByPropertyType[2].medianPricePerSquareFoot,120.36
saleData.history.2024-10.dataByPropertyType[2].minPricePerSquareFoot,64.9
saleData.history.2024-10.dataByPropertyType[2].maxPricePerSquareFoot,351.97
saleData.history.2024-10.dataByPropertyType[2].averageSquareFootage,1599
saleData.history.2024-10.dataByPropertyType[2].medianSquareFootage,1500
saleData.history.2024-10.dataByPropertyType[2].minSquareFootage,1000
saleData.history.2024-10.dataByPropertyType[2].maxSquareFootage,2415
saleData.history.2024-10.dataByPropertyType[2].averageDaysOnMarket,49
saleData.history.2024-10.dataByPropertyType[2].medianDaysOnMarket,25
saleData.history.2024-10.dataByPropertyType[2].minDaysOnMarket,4
saleData.history.2024-10.dataByPropertyType[2].maxDaysOnMarket,312
saleData.history.2024-10.dataByPropertyType[2].newListings,2
saleData.history.2024-10.dataByPropertyType[2].totalListings,12
saleData.history.2024-10.dataByPropertyType[3].propertyType,Multi-Family
saleData.history.2024-10.dataByPropertyType[3].averagePrice,265000
saleData.history.2024-10.dataByPropertyType[3].medianPrice,265000
saleData.history.2024-10.dataByPropertyType[3].minPrice,265000
saleData.history.2024-10.dataByPropertyType[3].maxPrice,265000
saleData.history.2024-10.dataByPropertyType[3].averagePricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[3].medianPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[3].minPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[3].maxPricePerSquareFoot,
saleData.history.2024-10.dataByPropertyType[3].averageSquareFootage,
saleData.history.2024-10.dataByPropertyType[3].medianSquareFootage,
saleData.history.2024-10.dataByPropertyType[3].minSquareFootage,
saleData.history.2024-10.dataByPropertyType[3].maxSquareFootage,
saleData.history.2024-10.dataByPropertyType[3].averageDaysOnMarket,6.5
saleData.history.2024-10.dataByPropertyType[3].medianDaysOnMarket,6
saleData.history.2024-10.dataByPropertyType[3].minDaysOnMarket,6
saleData.history.2024-10.dataByPropertyType[3].maxDaysOnMarket,7
saleData.history.2024-10.dataByPropertyType[3].newListings,0
saleData.history.2024-10.dataByPropertyType[3].totalListings,2
saleData.history.2024-10.dataByPropertyType[4].propertyType,Single Family
saleData.history.2024-10.dataByPropertyType[4].averagePrice,307585
saleData.history.2024-10.dataByPropertyType[4].medianPrice,285000
saleData.history.2024-10.dataByPropertyType[4].minPrice,85018
saleData.history.2024-10.dataByPropertyType[4].maxPrice,750000
saleData.history.2024-10.dataByPropertyType[4].averagePricePerSquareFoot,191.54
saleData.history.2024-10.dataByPropertyType[4].medianPricePerSquareFoot,185.07
saleData.history.2024-10.dataByPropertyType[4].minPricePerSquareFoot,65.3
saleData.history.2024-10.dataByPropertyType[4].maxPricePerSquareFoot,500
saleData.history.2024-10.dataByPropertyType[4].averageSquareFootage,1720
saleData.history.2024-10.dataByPropertyType[4].medianSquareFootage,1600
saleData.history.2024-10.dataByPropertyType[4].minSquareFootage,610
saleData.history.2024-10.dataByPropertyType[4].maxSquareFootage,4588
saleData.history.2024-10.dataByPropertyType[4].averageDaysOnMarket,62.3
saleData.history.2024-10.dataByPropertyType[4].medianDaysOnMarket,50
saleData.history.2024-10.dataByPropertyType[4].minDaysOnMarket,2
saleData.history.2024-10.dataByPropertyType[4].maxDaysOnMarket,327
saleData.history.2024-10.dataByPropertyType[4].newListings,13
saleData.history.2024-10.dataByPropertyType[4].totalListings,173
saleData.history.2024-10.dataByPropertyType[5].propertyType,Townhouse
saleData.history.2024-10.dataByPropertyType[5].averagePrice,297459
saleData.history.2024-10.dataByPropertyType[5].medianPrice,279990
saleData.history.2024-10.dataByPropertyType[5].minPrice,119900
saleData.history.2024-10.dataByPropertyType[5].maxPrice,765000
saleData.history.2024-10.dataByPropertyType[5].averagePricePerSquareFoot,180.07
saleData.history.2024-10.dataByPropertyType[5].medianPricePerSquareFoot,170.37
saleData.history.2024-10.dataByPropertyType[5].minPricePerSquareFoot,126.34
saleData.history.2024-10.dataByPropertyType[5].maxPricePerSquareFoot,386.84
saleData.history.2024-10.dataByPropertyType[5].averageSquareFootage,1665
saleData.history.2024-10.dataByPropertyType[5].medianSquareFootage,1600
saleData.history.2024-10.dataByPropertyType[5].minSquareFootage,949
saleData.history.2024-10.dataByPropertyType[5].maxSquareFootage,2150
saleData.history.2024-10.dataByPropertyType[5].averageDaysOnMarket,48.33
saleData.history.2024-10.dataByPropertyType[5].medianDaysOnMarket,24
saleData.history.2024-10.dataByPropertyType[5].minDaysOnMarket,2
saleData.history.2024-10.dataByPropertyType[5].maxDaysOnMarket,347
saleData.history.2024-10.dataByPropertyType[5].newListings,6
saleData.history.2024-10.dataByPropertyType[5].totalListings,45
saleData.history.2024-10.dataByBedrooms[0].bedrooms,1
saleData.history.2024-10.dataByBedrooms[0].averagePrice,186725
saleData.history.2024-10.dataByBedrooms[0].medianPrice,153000
saleData.history.2024-10.dataByBedrooms[0].minPrice,147900
saleData.history.2024-10.dataByBedrooms[0].maxPrice,237000
saleData.history.2024-10.dataByBedrooms[0].averagePricePerSquareFoot,240.84
saleData.history.2024-10.dataByBedrooms[0].medianPricePerSquareFoot,191.01
saleData.history.2024-10.dataByBedrooms[0].minPricePerSquareFoot,184.88
saleData.history.2024-10.dataByBedrooms[0].maxPricePerSquareFoot,342.62
saleData.history.2024-10.dataByBedrooms[0].averageSquareFootage,795
saleData.history.2024-10.dataByBedrooms[0].medianSquareFootage,800
saleData.history.2024-10.dataByBedrooms[0].minSquareFootage,610
saleData.history.2024-10.dataByBedrooms[0].maxSquareFootage,968
saleData.history.2024-10.dataByBedrooms[0].averageDaysOnMarket,123
saleData.history.2024-10.dataByBedrooms[0].medianDaysOnMarket,56
saleData.history.2024-10.dataByBedrooms[0].minDaysOnMarket,20
saleData.history.2024-10.dataByBedrooms[0].maxDaysOnMarket,314
saleData.history.2024-10.dataByBedrooms[0].newListings,0
saleData.history.2024-10.dataByBedrooms[0].totalListings,4
saleData.history.2024-10.dataByBedrooms[1].bedrooms,2
saleData.history.2024-10.dataByBedrooms[1].averagePrice,241458
saleData.history.2024-10.dataByBedrooms[1].medianPrice,247000
saleData.history.2024-10.dataByBedrooms[1].minPrice,39900
saleData.history.2024-10.dataByBedrooms[1].maxPrice,535000
saleData.history.2024-10.dataByBedrooms[1].averagePricePerSquareFoot,209.67
saleData.history.2024-10.dataByBedrooms[1].medianPricePerSquareFoot,200.89
saleData.history.2024-10.dataByBedrooms[1].minPricePerSquareFoot,65.3
saleData.history.2024-10.dataByBedrooms[1].maxPricePerSquareFoot,386.84
saleData.history.2024-10.dataByBedrooms[1].averageSquareFootage,1171
saleData.history.2024-10.dataByBedrooms[1].medianSquareFootage,1077
saleData.history.2024-10.dataByBedrooms[1].minSquareFootage,833
saleData.history.2024-10.dataByBedrooms[1].maxSquareFootage,2292
saleData.history.2024-10.dataByBedrooms[1].averageDaysOnMarket,71.94
saleData.history.2024-10.dataByBedrooms[1].medianDaysOnMarket,53
saleData.history.2024-10.dataByBedrooms[1].minDaysOnMarket,2
saleData.history.2024-10.dataByBedrooms[1].maxDaysOnMarket,347
saleData.history.2024-10.dataByBedrooms[1].newListings,3
saleData.history.2024-10.dataByBedrooms[1].totalListings,49
saleData.history.2024-10.dataByBedrooms[2].bedrooms,3
saleData.history.2024-10.dataByBedrooms[2].averagePrice,281817
saleData.history.2024-10.dataByBedrooms[2].medianPrice,279500
saleData.history.2024-10.dataByBedrooms[2].minPrice,64900
saleData.history.2024-10.dataByBedrooms[2].maxPrice,765000
saleData.history.2024-10.dataByBedrooms[2].averagePricePerSquareFoot,182.21
saleData.history.2024-10.dataByBedrooms[2].medianPricePerSquareFoot,177.76
saleData.history.2024-10.dataByBedrooms[2].minPricePerSquareFoot,64.9
saleData.history.2024-10.dataByBedrooms[2].maxPricePerSquareFoot,500
saleData.history.2024-10.dataByBedrooms[2].averageSquareFootage,1613
saleData.history.2024-10.dataByBedrooms[2].medianSquareFootage,1587
saleData.history.2024-10.dataByBedrooms[2].minSquareFootage,700
saleData.history.2024-10.dataByBedrooms[2].maxSquareFootage,2800
saleData.history.2024-10.dataByBedrooms[2].averageDaysOnMarket,46.78
saleData.history.2024-10.dataByBedrooms[2].medianDaysOnMarket,36
saleData.history.2024-10.dataByBedrooms[2].minDaysOnMarket,2
saleData.history.2024-10.dataByBedrooms[2].maxDaysOnMarket,203
saleData.history.2024-10.dataByBedrooms[2].newListings,13
saleData.history.2024-10.dataByBedrooms[2].totalListings,133
saleData.history.2024-10.dataByBedrooms[3].bedrooms,4
saleData.history.2024-10.dataByBedrooms[3].averagePrice,403217
saleData.history.2024-10.dataByBedrooms[3].medianPrice,399900
saleData.history.2024-10.dataByBedrooms[3].minPrice,119900
saleData.history.2024-10.dataByBedrooms[3].maxPrice,750000
saleData.history.2024-10.dataByBedrooms[3].averagePricePerSquareFoot,172.89
saleData.history.2024-10.dataByBedrooms[3].medianPricePerSquareFoot,151.58
saleData.history.2024-10.dataByBedrooms[3].minPricePerSquareFoot,128.61
saleData.history.2024-10.dataByBedrooms[3].maxPricePerSquareFoot,329.63
saleData.history.2024-10.dataByBedrooms[3].averageSquareFootage,2371
saleData.history.2024-10.dataByBedrooms[3].medianSquareFootage,2100
saleData.history.2024-10.dataByBedrooms[3].minSquareFootage,1560
saleData.history.2024-10.dataByBedrooms[3].maxSquareFootage,3499
saleData.history.2024-10.dataByBedrooms[3].averageDaysOnMarket,64.31
saleData.history.2024-10.dataByBedrooms[3].medianDaysOnMarket,50
saleData.history.2024-10.dataByBedrooms[3].minDaysOnMarket,2
saleData.history.2024-10.dataByBedrooms[3].maxDaysOnMarket,210
saleData.history.2024-10.dataByBedrooms[3].newListings,5
saleData.history.2024-10.dataByBedrooms[3].totalListings,39
saleData.history.2024-10.dataByBedrooms[4].bedrooms,5
saleData.history.2024-10.dataByBedrooms[4].averagePrice,506874
saleData.history.2024-10.dataByBedrooms[4].medianPrice,425000
saleData.history.2024-10.dataByBedrooms[4].minPrice,345000
saleData.history.2024-10.dataByBedrooms[4].maxPrice,850000
saleData.history.2024-10.dataByBedrooms[4].averagePricePerSquareFoot,173.42
saleData.history.2024-10.dataByBedrooms[4].medianPricePerSquareFoot,151.07
saleData.history.2024-10.dataByBedrooms[4].minPricePerSquareFoot,108.55
saleData.history.2024-10.dataByBedrooms[4].maxPricePerSquareFoot,351.97
saleData.history.2024-10.dataByBedrooms[4].averageSquareFootage,3162
saleData.history.2024-10.dataByBedrooms[4].medianSquareFootage,2990
saleData.history.2024-10.dataByBedrooms[4].minSquareFootage,2152
saleData.history.2024-10.dataByBedrooms[4].maxSquareFootage,4588
saleData.history.2024-10.dataByBedrooms[4].averageDaysOnMarket,115.14
saleData.history.2024-10.dataByBedrooms[4].medianDaysOnMarket,44
saleData.history.2024-10.dataByBedrooms[4].minDaysOnMarket,3
saleData.history.2024-10.dataByBedrooms[4].maxDaysOnMarket,327
saleData.history.2024-10.dataByBedrooms[4].newListings,0
saleData.history.2024-10.dataByBedrooms[4].totalListings,8
rentalData.lastUpdatedDate,2024-10-14T00:00:00.000Z
rentalData.averageRent,1521
rentalData.medianRent,1495
rentalData.minRent,750
rentalData.maxRent,2700
rentalData.averageRentPerSquareFoot,1.38
rentalData.medianRentPerSquareFoot,1.3
rentalData.minRentPerSquareFoot,0.86
rentalData.maxRentPerSquareFoot,2.59
rentalData.averageSquareFootage,1175
rentalData.medianSquareFootage,1100
rentalData.minSquareFootage,590
rentalData.maxSquareFootage,2100
rentalData.averageDaysOnMarket,25
rentalData.medianDaysOnMarket,8
rentalData.minDaysOnMarket,1
rentalData.maxDaysOnMarket,304
rentalData.newListings,18
rentalData.totalListings,76
rentalData.dataByPropertyType[0].propertyType,Apartment
